ID,Work Item Type,Title,Test Step,Step Action,Step Expected,Area Path,Assigned To,State
,,,6,Click See FAQs from the FAQ tile,The user is taken to the FAQ page or FAQ experience rather than a broken or empty destination.,,,
,Test Case,Pay My Bill page enforces lookup requirements and offers fallback support paths,,,,IT Enterprise\ECommerce\TG Website,"Thompson, Sharee <sthompson19@trugreenmail.com>",Design
,,,1,Navigate to https://www.trugreen.com/pay-your-bill,The Pay My Bill page loads with the account lookup form visible.,,,
,,,2,Click Find my bill without entering any account lookup data,The page prevents the lookup and displays required-field validation.,,,
,,,3,Enter a last name only and click Find my bill again,The page still blocks the request and indicates the additional required lookup inputs.,,,
,,,4,Click Account Login and Register from the customer support area,The user is taken to the account login or registration experience.,,,
,,,5,Use the browser back button to return to Pay My Bill,The billing page returns and the lookup form remains usable.,,,
,,,6,Click Customer Support from the footer support links,The user is taken to Customer Support as a fallback path for billing help.,,,
,Test Case,Blog landing page supports search and category drilldown plus article navigation,,,,IT Enterprise\ECommerce\TG Website,"Thompson, Sharee <sthompson19@trugreenmail.com>",Design
,,,1,Navigate to https://www.trugreen.com/lawn-care-101/blog,The blog landing page loads with search and category and article content visible.,,,
,,,2,Enter a common term such as lawn in the Search field and submit or apply the search,The results refresh to show blog content relevant to the entered term.,,,
,,,3,Click one category such as Lawn Care from the visible category options,The page filters or refocuses the article list to the selected category without an error.,,,
,,,4,Open one article card from the filtered or visible article list,The user is taken to a blog article detail page.,,,
,,,5,Use the browser back button to return to the blog landing page,The prior search or browsing context remains usable enough to continue testing.,,,
,,,6,Click the Get Started quote CTA near the bottom of the page,The user is taken to a valid quote or pricing entry experience.,,,
